timestamp_utc,timestamp_epoch,event_type,src,sport,dst,dport,protocol,summary,details
2024-07-30T17:54:58.018463+00:00,1722362098.018463,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,POST /api/v2/query HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0; content-type=application/json; content-length=99
2024-07-30T17:54:58.018463+00:00,1722362098.018463,finding,10.0.2.2,,,,C2,High confidence: Generic HTTP beaconing,10 repeated POST requests to the same endpoint; Fixed sleep interval: ~10s (jitter ratio 0.01); Destination: 10.0.2.15:4444 host=192.168.1.34:4444 uri=/api/v2/query
2024-07-30T17:54:58.026094+00:00,1722362098.026094,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:08.032572+00:00,1722362108.032572,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:08.040991+00:00,1722362108.040991,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=77
2024-07-30T17:55:08.043747+00:00,1722362108.043747,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,POST /api/v2/query HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0; content-type=application/json; content-length=131
2024-07-30T17:55:08.051017+00:00,1722362108.051017,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:18.060153+00:00,1722362118.060153,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:18.068743+00:00,1722362118.068743,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=93
2024-07-30T17:55:18.124829+00:00,1722362118.124829,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,POST /api/v2/query HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0; content-type=application/json; content-length=643
2024-07-30T17:55:18.133078+00:00,1722362118.133078,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:28.145263+00:00,1722362128.145263,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:28.154187+00:00,1722362128.154187,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=77
2024-07-30T17:55:28.160239+00:00,1722362128.160239,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,POST /api/v2/query HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0; content-type=application/json; content-length=6595
2024-07-30T17:55:28.169261+00:00,1722362128.169261,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:38.180899+00:00,1722362138.180899,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:38.189359+00:00,1722362138.189359,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:48.206332+00:00,1722362148.206332,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:48.214980+00:00,1722362148.214980,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:55:58.228476+00:00,1722362158.228476,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:55:58.237277+00:00,1722362158.237277,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:56:08.247507+00:00,1722362168.247507,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
